HotelName,ReviewID,ReviewDate,ReviewStar,CountReviews,ReviewerProfile,ReviewerContribution,ReviewerLocation,ReviewHelpfulVotes,DateOfStay,ResponseDate,TripType,ValueScore,ServiceScore,Sleep QualityScore,RoomsScore,LocationScore,CleanlinessScore,City_Country,ISO,YEAR,ReviewText,ResponseText
Baymont Inn and Suites by Wyndham The Woodlands,768485380,20-Sep,10,389,/Profile/volkmanlarry,1,,,20-Aug,,,10,10,20,10,50,10,TX,USA,2020,"Filthy room; bugs on floor and in tub, urine on toilet seat, no towels, no mircrowave, no room key cards (couldn't leave the room because of that), no iron, no internet, no temperature control on AC unit, no return calls from front desk, the list is too long for the space provided ",
Baymont Inn and Suites by Wyndham The Woodlands,733535135,19-Dec,20,389,/Profile/naijaqt,43,"Fort Worth, Texas",1,19-Dec,,Traveled solo,,,,,,,TX,USA,2019,"This is a location that you will need to be very careful to see while driving on the access road or you would likely risk missing it. At the time of my booking, there were no discernible signs to read indicating the name of the hotel. The hotel representative indicated that management is in the process of getting signs put up for the hotel. This location has the reminiscent smell of smoke that was still noticeable in my non-smoking room so if this is something that you’re sensitive to, please be mindful.  Breakfast is available from 6 to 9 am. Safe travels.",
Baymont Inn and Suites by Wyndham The Woodlands,728319862,19-Nov,20,389,/Profile/J5149FOjamesm,24,Shepherdsville,2,19-Nov,,Traveled on business,,,,,,,TX,USA,2019,"Friendly lady at front desk at checkin but no sign by road to let you know were they are, not lit well towards the back of hotel, NO smoke alarm in the room, toilet was still dirty, small pillows, old lumpy mattress. Not worth what you pay for room.",
Baymont Inn and Suites by Wyndham The Woodlands,726610427,19-Nov,50,389,/Profile/marlawhite1228,1,,,19-Nov,,Traveled solo,50,50,50,50,50,40,TX,USA,2019,Excellent customer service and wonderful stay. Breakfast was good and the hotel staff/people were very warm. Would come and visit again if I'm in the area. Hotel should have the breakfast information or delivery options in all the rooms for guest to have as a helpful info to have during their stay. Thank you!,
Baymont Inn and Suites by Wyndham The Woodlands,725820135,19-Nov,10,389,/Profile/firstfruits,2,,,19-Nov,,Traveled as a couple,,,,,,,TX,USA,2019,"lots of bugs in light fixture all the furniture is worn out, lumpy hard mattress, miniscule pillows. relatively clean outside of light fixture. poorly lit hard to see from road and according to my wife a little creepy in the back side of property.",
OYO Hotel Shenandoah Woodlands Mall,674883153,19-May,40,22,/Profile/Connector15067274109,1,,,19-May,,Traveled solo,,,,,,,TX,USA,2019,"Updated room.  Conveniently located to the interstate. Quiet area.  Nice outdoor pool.  Good lemon water and breakfast.  Coffee, juice, eggs, waffles, cereal, yogurt, fruit.  Can't think of any other way to get enough characters.  Should be able to review without so many rules!!",
OYO Hotel Shenandoah Woodlands Mall,631728354,18-Nov,10,22,/Profile/connieb236,3,"Livingston, Texas",,18-Nov,,Traveled with family,10,10,,,30,,TX,USA,2018,"My daughter and I reserved a room at this hotel because she was playing in a softball tournament.  When we checked in, I noticed the room rate was more than the amount on my email.  I showed the lady at the front desk my email and she said that she would have the manager fix the rate and she would bring me my paper to sign.  When she brought me the paper, it was still the wrong amount and I told her I would not sign that.  She said she would get the manager to fix it and I could sign it before I checked out.  When I went to check out, the manager had put a sticky note on my room rate paper saying that the rate I was quoted was for a single King bed, not two beds.  I again, showed another lady at the front desk my email that quoted my room with two queen beds for the reduced price.  I was told the manager was not there but to call at lunch time and the problem would be fixed.  I called and the person who answered the phone told me the problem was fixed and the difference on the room would be refunded.  I checked my credit card online and not only was the wrong price for the room charged, I also had the price that was supposed to be refunded charged twice and refunded once.  So the total amount charged for my room was doubled from what it was supposed to be.  I called the hotel and talked to the manager and he was the rudest man I have ever spoken with in my life!!  I have called the General Manager of Choice Hotels and they are fixing the problem.  NEVER go to this hotel!!!…",
Days Inn by Wyndham Shenandoah,787425659,21-Apr,10,370,/Profile/timhighfill,1,,,21-Apr,,,10,30,30,30,30,30,TX,USA,2021,"Quoted one price, charged $50 more on receipt than the confirmation email said. Front desk wouldn't fix it. Reservations wouldn't fix it. Credit card was charged the higher amount without even being told first.",
Days Inn by Wyndham Shenandoah,780979046,21-Jan,50,370,/Profile/P9621VTritap,5,"Mableton, Georgia",2,21-Jan,,Traveled on business,,,,,,,TX,USA,2021,"I am a diamond member with Wyndham and use this hotel alot. I have always found the rooms clean, comfortable, and up to date . The manager Mr. Jay Patel and Anita make sure their customers are taken care of going that extra mile to ensure their comfort . I just came from Texas yesterday and due to weather the flight got delayed . I had a crew traveling with me . Long story short Mr.Patel gave us a late check out and was very concerned about our flights. They are the best in my opinion and I travel extensively. I would  recommend this hotel to all my business associations, friends and family . Thank you for going that extra mile to assist us .  Rita Pearson CEO  The Throw Away Kids Network",
Days Inn by Wyndham Shenandoah,778079224,20-Nov,50,370,/Profile/ritap887,19,Atlanta ,2,20-Nov,,Traveled on business,,,,,,,TX,USA,2020,"I am a CEO of a non profit and I always stay at this hotel ...that management of  Mr. Jai Patel and the receptionist at the front desk Anita is the best team . Their customer service is professional, friendly , and they go beyond to meet all the customers needs . I would recommend this hotel for all your hotel needs . Denny's close by is a plus .",
Days Inn by Wyndham Shenandoah,752624125,20-Apr,20,370,/Profile/NomaWasHere,1,"The Woodlands, Texas",,20-Apr,,Traveled on business,30,10,30,30,30,30,TX,USA,2020,"Please RECOGNIZE that the Front desk attendant that wears the collection of colorful wigs had a NASTY attitude when I stayed months ago and still has one now. My business partner and I have spent THOUSANDS here. She is why I stopped staying there before. No more stays at Days Inn by Wyndham Shenandoah, Texas until after she is gone!",
Days Inn by Wyndham Shenandoah,743988522,20-Feb,40,370,/Profile/Dacsayshi,1,,,20-Jan,,,50,40,50,40,40,40,TX,USA,2020,It is an older property but it is clean and the price was right. It was close to Dave & Buster's and the Mexican food resturaunt being in walking distance was really cool. I had to leave before the official 6:30 breakfast ,
"Country Inn & Suites by Radisson, The Woodlands",779818328,20-Dec,30,90,/Profile/Miss_Ivy_92,489,"Ada, Oklahoma",195,20-Nov,3/10/21,,,30,,30,30,,TX,USA,2020,"I was pleased with the hotel, but with COVID a few things concerned me. First of all the guy working the front desk never wore a mask. I saw him not wearing one all 3 days we stayed at the hotel. The pool was still open, and no other hotels have pools open due to COVID. I thought the room was spacious and clean. The vending machines did not work.","Hi Miss_Ivy_92,  Greetings from Country Inn & Suites by Radisson, The Woodlands. Thank you for sharing your concerns with us. We take it very seriously as we appreciate your effort to voice out your sentiments regarding our staff did not wear mask that time. Rest assured that everything you said will be forward to the management team so they can tackle this issue as soon as possible. We are doing our very best to make sure your are safe. Best of health!  "
"Country Inn & Suites by Radisson, The Woodlands",779145452,20-Dec,50,90,/Profile/J1628FUjayh,1,,,20-Dec,3/10/21,,50,50,,,,50,TX,USA,2020,"Planned a stay here on behalf of my parents who were staying near medical facilities for a full week. When I contacted the location after having made the reservation to seek out the likelihood of accommodations based on mobility, proximity to entrance/exit, early arrival and delayed departure, Cindy offered excellent support and assurance of being able to meet needs as they arose. Throughout the week long stay and on departure, my parents happily confirmed their comfort and kind attention provided by the team in Shenandoah. Thank you!","Hi J1628FUjayh,  Thank you for taking the time to share this five-star experience with our management, staff, and future guests. I'm glad that our services, hospitality, and accommodations exceeded your expectations and hope that you experience the same comfortable stay during your next visit! We will happily share your comments with Cindy and we look forward to seeing you soon!"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
